Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
SANTA FE 1001/2023-09-04 12-00-02 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 12-11-26 M 1_3_crop1.JPG,Iguana,Foraging,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 12-26-49 M 1_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 12-27-49 M 2_3_crop1.JPG,Iguana,Sleeping,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 12-28-49 M 3_3_crop1.JPG,Iguana,Sleeping,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 13-07-42 M 3_3_crop1.JPG,Iguana,Sleeping,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 13-38-17 M 2_3_crop1.JPG,Iguana,Foraging,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 13-39-17 M 3_3_crop1.JPG,Tortoise,Unknown,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 13-51-38 M 1_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 13-52-38 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 13-53-38 M 3_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-04 14-07-06 M 1_3_crop1.JPG,Iguana,Unknown,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-09-04 14-31-30 M 1_3_crop1.JPG,Iguana,Resting_elevated,Sunlight,Woody,Trunk,Ground,False
SANTA FE 1001/2023-09-04 14-33-30 M 3_3_crop1.JPG,Iguana,Resting_elevated,Sunlight,Woody,Trunk,Ground,False
SANTA FE 1001/2023-09-05 13-30-38 M 1_3_crop1.JPG,Tortoise,Sleeping,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-09-05 13-31-38 M 2_3_crop1.JPG,Tortoise,Sleeping,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-09-09 09-44-06 M 1_3_crop1.JPG,Tortoise,Foraging,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-09 09-45-06 M 2_3_crop1.JPG,Tortoise,Foraging,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-09 10-30-12 M 1_3_crop1.JPG,Tortoise,Unknown,Shade,Unknown,Unknown,Ground,False
SANTA FE 1001/2023-09-09 10-32-12 M 3_3_crop1.JPG,Tortoise,Unknown,Unknown,Grass,Unknown,NA,False
SANTA FE 1001/2023-09-10 12-12-32 M 1_3_crop1.JPG,Mockingbird,Flying,Sunlight,NA,NA,NA,False
SANTA FE 1001/2023-09-13 10-45-13 M 1_3_crop1.JPG,Mockingbird,Flying,Shade,NA,NA,NA,False
SANTA FE 1001/2023-09-13 11-10-33 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-13 11-46-18 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-13 12-01-24 M 1_3_crop1.JPG,Other,Unknown,Sunlight,NA,NA,NA,False
SANTA FE 1001/2023-09-13 12-02-24 M 2_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-13 12-03-24 M 3_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-13 12-27-59 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
