Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
cropped/SANTA FE 976/2023-10-24 11-38-05 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 983/DCIM/100RECNX/RCNX2006_crop1.JPG,Iguana,Fighting,Sunlight,Grass,NA,Ground,False
cropped/SANTA FE 905/2023-09-27 12-48-20 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 975/2024-03-05 14-47-22 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2023-11-24 14-31-56 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 975/2024-02-25 13-10-36 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2023-07-27 12-21-36 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 983/DCIM/100RECNX/RCNX9496_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2023-08-16 12-57-00 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 983/DCIM/100RECNX/RCNX1357_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,NA,Ground,False
cropped/SANTA FE 1001/2024-03-07 15-17-59 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2024-01-16 13-12-25 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 983/DCIM/100RECNX/RCNX4138_crop1.JPG,Iguana,Resting_ground,Unknown,Grass,NA,Ground,False
cropped/SANTA FE 1001/2023-12-02 13-45-58 M 1_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
cropped/SANTA FE 983/DCIM/100RECNX/RCNX1254_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-10-19 11-32-21 M 1_3_crop1.JPG,Iguana,Territorial_displaying,Shade,NA,NA,Ground,False
cropped/SANTA FE 976/2023-09-09 07-44-26 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2023-11-19 08-52-26 M 1_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,Unknown,Ground,False
Camera trap 983/DCIM/100RECNX/RCNX0013_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0017_crop1.JPG,Iguana,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0025_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0028_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0032_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0036_crop1.JPG,Iguana,Foraging,Unknown,Unknown,Ground,,
Camera trap 983/DCIM/100RECNX/RCNX0043_crop1.JPG,Iguana,Resting,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0044_crop1.JPG,Iguana,Resting,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0055_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0058_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0061_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0067_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0069_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0072_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0076_crop1.JPG,Iguana,Resting,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0078_crop1.JPG,Dove,Unknown,NA,NA,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0080_crop1.JPG,Iguana,Foraging,Cactus,Unknown,Ground,,
2023-08-08 08-15-11 M 1_3_crop1_buf100.JPG,Tortoise,Walking,NA,NA,NA,,
2023-08-12 13-19-06 M 3_3_crop1_buf100.JPG,Tortoise,Foraging,Unknown,Unknown,Ground,,
2023-08-20 07-46-06 M 1_3_crop1_buf100.JPG,Tortoise,Walking,NA,NA,NA,,
2023-08-22 07-01-37 M 1_3_crop1_buf100.JPG,Tortoise,Chasing_interspecies,NA,NA,NA,,
2023-08-25 11-11-51 M 3_3_crop1_buf100.JPG,Finch,Foraging,NA,NA,NA,,
2023-09-20 09-58-14 M 1_3_crop2_buf100.JPG,Tortoise,Unknown,Unknown,Unknown,NA,,
2023-09-25 11-46-51 M 1_3_crop1_buf100.JPG,Tortoise,Unknown,Unknown,Unknown,NA,,
2023-10-08 13-00-14 M 1_3_crop1_buf100.JPG,Flycatcher,Unknown,Unknown,NA,NA,,
2023-10-11 08-58-55 M 2_3_crop1_buf100.JPG,Lava_Lizard,Unknown,Unknown,Unknown,NA,,
2023-10-12 06-16-03 M 1_3_crop1_buf100.JPG,Dove,Unknown,Unknown,NA,NA,,
2023-10-20 09-21-29 M 1_3_crop3_buf100.JPG,Dove,Unknown,NA,NA,NA,,
2023-10-21 10-27-47 M 3_3_crop1_buf100.JPG,Iguana,Foraging,NA,NA,NA,,
2023-10-22 15-30-00 M 2_3_crop2_buf100.JPG,Dove,Unknown,NA,NA,NA,,
2023-10-23 09-44-35 M 1_3_crop1_buf100.JPG,Tortoise,Unknown,NA,NA,NA,,
2023-11-10 14-50-03 M 1_3_crop1_buf100.JPG,Mockingbird,Unknown,NA,NA,NA,,
2023-11-24 10-21-08 M 1_3_crop1_buf100.JPG,Iguana,Unknown,NA,NA,NA,,
2023-12-02 13-17-01 M 1_3_crop1_buf100.JPG,Iguana,Resting_ground,NA,NA,NA,,
2023-12-03 16-34-09 M 2_3_crop1_buf100.JPG,Iguana,Unknown,NA,NA,NA,,
2023-12-04 13-50-41 M 1_3_crop1_buf100.JPG,Iguana,Unknown,NA,NA,NA,,
2023-12-12 11-19-38 M 2_3_crop1_buf100.JPG,Tortoise,Sleeping,NA,NA,NA,,
2023-12-27 12-12-01 M 1_3_crop1_buf100.JPG,Finch,Unknown,NA,NA,NA,,
2023-12-31 09-26-54 M 2_3_crop1.JPG,Iguana,Foraging,NA,NA,NA,,
2023-12-31 09-26-54 M 2_3_crop1_buf100.JPG,Iguana,Foraging,Unknown,Unknown,NA,,
2024-01-01 15-19-37 M 2_3_crop1_buf100.JPG,Iguana,Unknown,Unknown,Unknown,NA,,
2024-01-01 15-33-23 M 3_3_crop1_buf100.JPG,Iguana,Unknown,NA,NA,NA,,
2024-02-01 15-32-58 M 1_3_crop1_buf100.JPG,Hawk,Unknown,NA,NA,NA,,
2024-02-24 12-30-55 M 1_3_crop1_buf100.JPG,Lava_Lizard,Unknown,NA,NA,NA,,
2024-02-26 10-56-40 M 1_3_crop1_buf100.JPG,Dove,Unknown,NA,NA,NA,,
2024-05-29 16-42-55 M 1_3_crop1_buf100.JPG,Hawk,Unknown,Unknown,NA,NA,,
RCNX0080_crop1_buf100.JPG,Iguana,Unknown,NA,NA,NA,,
RCNX0220_crop1_buf400.JPG,Mockingbird,Unknown,NA,NA,NA,,
RCNX0437_crop1_buf100.JPG,Iguana,Unknown,NA,NA,NA,,
RCNX0610_crop2_buf400.JPG,Mockingbird,Unknown,NA,NA,NA,,
RCNX0745_crop1_buf100.JPG,Iguana,Unknown,NA,NA,NA,,
RCNX0947_crop1_buf100.JPG,Iguana,Unknown,NA,NA,NA,,
RCNX1636_crop1_buf100.JPG,Rat,Unknown,NA,NA,NA,,
RCNX1865_crop1_buf100.JPG,Iguana,Courtship,NA,NA,NA,,
RCNX2262_crop1_buf400.JPG,Tortoise,Unknown,Unknown,Unknown,Plant,,
Camera trap 983/DCIM/100RECNX/RCNX0081_crop1.JPG,Other,Fighting,NA,Unknown,NA,,
Camera trap 983/DCIM/100RECNX/RCNX0019_crop1.JPG,Iguana,Resting_elevated,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0047_crop1.JPG,Iguana,Resting_elevated,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0048_crop1.JPG,Iguana,Resting_elevated,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0079_crop1.JPG,Iguana,Unknown,Unknown,NA,NA,NA,
